ID;login;NlogonAll;calendbinary;filterbinary;Nexport;topic1;Nactive1;topic2;Nactive2;topic3;Nactive3;diffdate;diffbill;fastbill;msignal;avgSectionbinary;avgNullSearchW;avgNullSearchM;avgEmptyStupid;Nlongfilter;NcontractAll;NcontractAllReq;NprotNotAll;NprotNotAllAuction;protContractRatio;is_loyality
575781;1;41;1;1;6;27;173;24;173;33;173;1.48995433789954;0;3;0;0.1875;0.0625;0.0625;0.5625;10;5;1;2;1;1;0
575788;1;681;0;1;0;10;15594;10;15594;10;15594;2.09041095890411;4.328125;08.май;0;0.311475409836066;0.0327868852459016;0;0.0983606557377049;37;162;100;277;36;0.584837545126354;1
576040;1;338;0;1;0;28;6627;14;6627;19;6627;1.78584474885845;0;35;0;0.225806451612903;0.0645161290322581;0.032258064516129;0.451612903225806;9;26;3;77;47;0.337662337662338;0
576186;1;76;0;1;974;18;600;18;600;24;600;0.989041095890411;0.045016077170418;04.май;0;0.48;0.16;0.16;0.22;27;0;0;0;0;0;1
576274;1;10;0;1;0;60;18;74;18;93;18;1.50913242009132;0;3;0;0.2;0;0;0.4;4;2;1;6;4;0.333333333333333;0
576285;1;61;0;1;0;29;20;0;0;0;0;1.29543378995434;0;2;0;0.625;0.1875;0.125;0.25;8;0;0;0;0;0;0
576320;1;28;0;1;0;17;80;17;80;25;80;0.342465753424658;0.919230769230769;10.май;0;0;0;0;0;4;19;0;28;28;0.678571428571429;0
576353;1;36;0;1;0;45;64;45;64;74;64;1.17534246575342;0.0453257790368272;75;0;0;0;0;0;2;9;1;11;8;0.818181818181818;1
576696;1;652;1;1;1000;30;13066;30;13066;21;13066;1.03013698630137;0.123931623931624;10.май;0;0.308411214953271;0.0747663551401869;0.0280373831775701;0.317757009345794;97;76;28;168;87;0.452380952380952;1
576710;1;64;0;1;0;33;164;33;164;2;164;0.906849315068493;0.0351906158357771;46.5;0;0.105263157894737;0.0526315789473684;0;0.368421052631579;14;3;2;3;0;1;1
577100;1;124;0;1;0;27;1668;27;1668;74;1668;0.484474885844749;0;34;0;0.52;0.08;0.08;0.08;19;0;0;0;0;0;1
577181;1;45;0;1;0;25;47;28;47;26;47;0.621917808219178;-0.134529147982063;2;0;0.0476190476190476;0.619047619047619;0.55952380952381;0.107142857142857;24;0;0;0;0;0;0
577188;1;32;0;1;31;35;1431;45;1431;23;1431;1.44063926940639;0;19;0;0.375;0.125;0.0833333333333333;0.333333333333333;10;1;1;16;1;0.0625;0
577319;1;96;1;1;0;15;131;14;131;36;131;1.3041095890411;0.113314447592068;32;0;0.263157894736842;0.0526315789473684;0.0526315789473684;0.421052631578947;8;12;2;10;4;1;0
577332;1;176;1;1;4;26;31354;26;31354;30;31354;0.997260273972603;0.0662393162393162;1;1;0.46875;0.09375;0.09375;0.15625;22;0;0;0;0;0;1
577442;1;13;0;0;0;45;7;0;0;0;0;0.104109589041096;7.34375;03.май;0;0;0;0;0;0;22;3;28;19;0.785714285714286;0
57766;1;34;1;1;0;24;210;24;210;29;210;1.31232876712329;0.0866510538641686;4;0;0.178571428571429;0.0357142857142857;0.0357142857142857;0.642857142857143;20;4;0;13;13;0.307692307692308;0
57768;1;198;1;1;14;45;1250;45;1250;80;1250;2.05205479452055;0.196491228070175;2;0;0.0909090909090909;0;0;0.181818181818182;10;21;6;26;12;0.807692307692308;1
577948;1;304;0;1;0;45;1844;45;1844;31;1844;0.961643835616438;0.0174081237911025;8;1;0.711111111111111;0.133333333333333;0.111111111111111;0.4;15;0;0;0;0;0;1
57804;1;14;0;1;4;33;58;33;58;21;58;0.936986301369863;0.0333333333333333;08.май;0;0.0588235294117647;0.176470588235294;0.176470588235294;0.0588235294117647;15;20;4;33;29;0.606060606060606;1
578343;1;33;0;1;0;73;75;72;75;0;0;1.75296803652968;0;14;0;0;0;0;0.75;2;6;0;7;6;0.857142857142857;0
579068;1;64;0;1;1;17;52;15;52;74;52;0.389041095890411;3.0625;01.май;0;0.142857142857143;0;0;0.714285714285714;6;1;0;0;0;0;0
579098;1;24;0;1;0;60;50;45;50;36;50;1.4958904109589;0.209230769230769;6;0;0.333333333333333;0;0;0.333333333333333;4;2;2;2;0;1;0
579141;1;25;0;1;0;73;34;90;34;70;34;0.10958904109589;0.409395973154362;01.май;0;0.157894736842105;0.157894736842105;0;0.473684210526316;3;0;0;2;1;0;0
57922;1;128;1;1;1;93;261;36;261;34;261;1.48447488584475;0;2;0;0.444444444444444;0.111111111111111;0.111111111111111;0.333333333333333;6;2;0;1;1;1;0
579359;1;686;0;1;10;73;2678;73;2678;52;2678;0.958904109589041;0.0436507936507936;02.май;0;0.183673469387755;0.0612244897959184;0.0204081632653061;0.0612244897959184;9;3;3;4;1;0.75;1
579410;1;26;0;1;0;20;135;72;135;94;135;0.0246575342465753;175.5;1;0;0;0;0;0.833333333333333;2;1;0;0;0;0;0
579817;1;368;1;1;2;15;2100;15;2100;92;2100;1.25205479452055;0.113314447592068;1;1;0.2;0.08;0.04;0;16;7;1;24;16;0.291666666666667;1
579844;1;83;0;1;0;26;166;27;166;74;166;1.76666666666667;0;13;0;0.2;0;0;0.466666666666667;8;0;0;0;0;0;0
57993;1;462;1;1;2;15;250;15;250;16;250;1.03835616438356;-0.542600896860987;42;0;0.25;0;0;0.6875;4;50781;4989;13449;4143;1;1
579932;1;552;1;1;10;27;12390;27;12390;18;12390;1.19452054794521;мар.25;3;0;0.244444444444444;0.0666666666666667;0.0444444444444444;0.133333333333333;29;2;0;1;1;1;1
579941;1;580;1;1;220;20;12860;20;12860;18;12860;0.997260273972603;0.0453257790368272;4;0;0.838709677419355;0.129032258064516;0;0.161290322580645;4;83;55;233;28;0.356223175965665;1
